DATE	WELL	QOIL	QWAT	QGAS	BHP
2013-04-13	WELL1A	7730.702929	2.404928802	2790.348016	1884.324708
2013-05-13	WELL1A	7722.233686	2.404928802	2804.657222	1884.324708
2013-06-12	WELL1A	8233.924426	2.893648988	2926.960347	1884.324708
2013-07-12	WELL1A	8074.560816	2.893648988	2890.092789	1823.235328
2013-08-11	WELL1A	8183.765141	2.893648988	2705.585042	1823.235328
2013-09-10	WELL1A	8098.888328	2.893648988	2875.565174	1823.235328
2013-10-10	WELL1A	7602.633035	2.011202661	2772.854235	1823.235328
2013-11-09	WELL1A	7709.066761	2.604462766	2688.20157	1823.235328
2013-12-09	WELL1A	7947.783441	0.245888158	2743.325073	1823.235328
2014-01-08	WELL1A	8104.024954	0.245888158	2726.969233	1844.802988
2014-02-07	WELL1A	7717.466601	0.245888158	2820.06239	1844.802988
2014-03-09	WELL1A	8207.618794	0.245888158	2894.561847	1844.802988
2014-04-08	WELL1A	7675.950049	4.169029033	2700.854328	1844.802988
2014-05-08	WELL1A	7742.169731	1.318612952	2790.078254	1844.802988
2014-06-07	WELL1A	7819.95636	1.318612952	2781.259969	1844.802988
2014-07-07	WELL1A	7887.627289	0.483705296	2728.642966	1844.802988
2014-08-06	WELL1A	8329.336553	1.978966933	2801.476096	1809.498967
2014-09-05	WELL1A	8363.719643	1.978966933	2855.032558	1809.498967
2014-10-05	WELL1A	7654.408855	1.978966933	2769.524558	1809.498967
2014-11-04	WELL1A	7899.870302	1.978966933	2674.164382	1809.498967
2014-12-04	WELL1A	8151.986887	3.278446468	2877.712374	1809.498967
2015-01-03	WELL1A	8264.869223	3.84482957	2897.615798	1809.498967
2015-02-02	WELL1A	7756.509899	3.84482957	2831.83592	1809.498967
2015-03-04	WELL1A	7869.658345	3.84482957	2902.268877	1857.288838
2015-04-03	WELL1A	7978.493562	1.548733627	2832.364981	1857.288838
2015-05-03	WELL1A	8208.104277	3.338022124	2737.069552	1857.288838
2015-06-02	WELL1A	8348.311224	1.665373927	2750.431743	1857.288838
2015-07-02	WELL1A	8281.79932	3.946195842	2760.025866	1857.288838
2015-08-01	WELL1A	8339.621035	3.06475055	2832.214143	1857.288838
2015-08-31	WELL1A	8125.612186	3.06475055	2747.818067	1700.688857
2015-09-30	WELL1A	7903.663413	2.161504934	2886.532348	1700.688857
2015-10-30	WELL1A	8387.006868	4.659500744	2767.096536	1700.688857
2015-11-29	WELL1A	8384.268795	2.581583176	2689.427247	1700.688857
2015-12-29	WELL1A	8038.997692	1.807891621	2847.149798	1700.688857
2016-01-28	WELL1A	7944.709094	1.365991247	2902.951224	1700.688857
2016-02-27	WELL1A	8061.616733	1.365991247	2667.722323	1700.688857
2016-03-28	WELL1A	8050.015123	1.365991247	2912.66463	1762.068389
2016-04-27	WELL1A	7705.014475	0.718469162	2889.968371	1762.068389
2016-05-27	WELL1A	8277.087266	0.718469162	2685.525612	1762.068389
2016-06-26	WELL1A	7780.624489	2.061868128	2710.49568	1762.068389
2016-07-26	WELL1A	7753.968691	2.061868128	2687.469484	1762.068389
2016-08-25	WELL1A	7984.636609	2.092980627	2814.978985	1762.068389
2016-09-24	WELL1A	7716.416669	1.920171111	2804.894117	1708.880254
2016-10-24	WELL1A	8145.155029	1.920171111	2698.662344	1708.880254
2016-11-23	WELL1A	8071.241436	1.803458456	2875.838963	1708.880254
2016-12-23	WELL1A	7745.927302	1.605276399	2863.892186	1708.880254
2017-01-22	WELL1A	7884.53055	1.605276399	2842.422786	1708.880254
2017-02-21	WELL1A	8392.792628	4.162618012	2668.421689	1708.880254
2017-03-23	WELL1A	7963.257009	1.392905848	2915.781027	1708.880254
2017-04-22	WELL1A	8172.104888	0.513002465	2871.627905	1730.600546
2017-05-22	WELL1A	7894.32368	0.513002465	2862.686208	1730.600546
2017-06-21	WELL1A	8336.509766	0.513002465	2674.747448	1730.600546
2017-07-21	WELL1A	8316.7266	0.543635439	2806.099686	1730.600546
2017-08-20	WELL1A	7875.209516	3.216605792	2832.181015	1730.600546
2017-09-19	WELL1A	7820.553167	3.216605792	2690.054641	1730.600546
2017-10-19	WELL1A	8043.072079	3.216605792	2877.056088	1545.354171
2017-11-18	WELL1A	7760.746865	3.216605792	2806.870454	1545.354171
2017-12-18	WELL1A	7749.609882	3.607561436	2922.692975	1545.354171
2018-01-17	WELL1A	8128.408809	1.444730343	2796.548137	1545.354171
2018-02-16	WELL1A	8279.490427	2.02059292	2919.557589	1545.354171
2018-03-18	WELL1A	7640.652498	3.293008672	2702.597412	1545.354171
2018-04-17	WELL1A	7686.727028	2.650397068	2927.138585	1706.462519
2018-05-17	WELL1A	7744.829181	2.650397068	2689.015307	1706.462519
2018-06-16	WELL1A	8211.02985	1.72309265	2673.173422	1706.462519
2018-07-16	WELL1A	8071.86318	1.72309265	2890.233664	1706.462519
2018-08-15	WELL1A	7707.905825	1.222008169	2754.149713	1706.462519
2018-09-14	WELL1A	7767.282256	4.738353798	2688.923866	1706.462519
2018-10-14	WELL1A	8022.074805	4.738353798	2878.436762	1706.462519
2018-11-13	WELL1A	8377.690767	5.174398957	2740.218773	1706.462519
2018-12-13	WELL1A	8308.047283	5.174398957	2907.64731	1706.462519
2011-02-01	WELL1B	7751.562887		2741.53986	2166.392038
2011-03-04	WELL1B	8113.299721	9.324530821	2846.788616	2166.392038
2011-04-04	WELL1B	7889.247859	9.324530821	2880.805791	2166.392038
2011-05-05	WELL1B	7939.93535	9.324530821	2683.127535	2166.392038
2011-06-05	WELL1B	8102.220248	1.806913211	2832.831532	2166.392038
2011-07-06	WELL1B	7602.946967	8.962414475	2664.794479	2166.392038
2011-08-06	WELL1B	8226.150106	8.962414475	2710.699657	2032.758312
2011-09-06	WELL1B	7713.476029	8.962414475	2841.638941	2032.758312
2011-10-07	WELL1B	8204.035482	2.742783934	2824.637419	2032.758312
2011-11-07	WELL1B	8274.009374	2.742783934	2835.399924	2032.758312
2011-12-08	WELL1B	7853.533433	2.742783934	2884.107175	2032.758312
2012-01-08	WELL1B	7986.519808	2.402688774	2927.019358	2032.758312
2012-02-08	WELL1B	8135.767677	6.628543265	2812.042437	2063.585098
2012-03-10	WELL1B	7734.012013	5.173634105	2759.56669	2063.585098
2012-04-10	WELL1B	8177.075435	5.173634105	2884.329154	2063.585098
2012-05-11	WELL1B	7884.783549	8.382402934	2859.812365	2063.585098
2012-06-11	WELL1B	8257.869579	8.382402934	2892.291438	2063.585098
2012-07-12	WELL1B	8125.833917	8.382402934	2901.212097	2063.585098
2012-08-12	WELL1B	7777.924457	8.382402934	2736.113164	2079.495629
2012-09-12	WELL1B	8208.142218	8.382402934	2662.122197	2079.495629
2012-10-13	WELL1B	7916.917094	9.365917752	2863.861371	2079.495629
2012-11-13	WELL1B	7782.228809	7.967399077	2831.027582	2079.495629
2012-12-14	WELL1B	7666.870551	9.047591637	2707.034887	2079.495629
2013-01-13	WELL1B	8342.426476	9.047591637	2878.000552	2079.495629
2013-02-12	WELL1B	8226.676533	9.047591637	2720.745932	1993.306385
2013-03-14	WELL1B	7844.912311	9.047591637	2936.787851	1993.306385
2013-04-13	WELL1B	7669.94748	9.047591637	2760.500939	1993.306385
2013-05-13	WELL1B	7614.87449	1.955973949	2836.185542	1993.306385
2013-06-12	WELL1B	7766.867194	1.955973949	2683.253596	1993.306385
2013-07-12	WELL1B	7927.687981	1.955973949	2824.015525	1993.306385
2013-08-11	WELL1B	7763.383287	2.998280959	2929.917636	1923.352417
2013-09-10	WELL1B	8342.033485	2.998280959	2827.171565	1923.352417
2013-10-10	WELL1B	7667.718628	4.533477183	2860.615316	1923.352417
2013-11-09	WELL1B	7801.683368	4.533477183	2667.69706	1923.352417
2013-12-09	WELL1B	8109.03575	4.533477183	2711.79711	1923.352417
2014-01-08	WELL1B	8071.54318	9.330148457	2769.332389	1923.352417
2014-02-07	WELL1B	7881.44348	3.748838491	2686.39138	1841.680312
2014-03-09	WELL1B	8113.098592	3.748838491	2896.407927	1841.680312
2014-04-08	WELL1B	8042.144202	3.748838491	2791.637328	1841.680312
2014-05-08	WELL1B	7742.052297	3.748838491	2729.012344	1841.680312
2014-06-07	WELL1B	8016.777829	3.748838491	2782.193892	1841.680312
2014-07-07	WELL1B	8025.637407	7.371750057	2897.918979	1841.680312
2014-08-06	WELL1B	7665.312566	3.574696609	2816.977328	1841.680312
2014-09-05	WELL1B	7994.656981	3.574696609	2822.028913	1877.246733
2014-10-05	WELL1B	8165.179421	0.459994515	2731.515377	1877.246733
2014-11-04	WELL1B	8152.295598	2.122478995	2834.527654	1877.246733
2014-12-04	WELL1B	8044.691627	0.577497563	2855.661069	1877.246733
2015-01-03	WELL1B	7801.769059	0.577497563	2707.10473	1877.246733
2015-02-02	WELL1B	7826.081813	0.632918262	2921.378358	1877.246733
2015-03-04	WELL1B	7717.474555	0.632918262	2685.060824	1877.246733
2015-04-03	WELL1B	7608.616862	0.632918262	2717.561424	1896.599675
2015-05-03	WELL1B	8397.474899	0.632918262	2730.754941	1896.599675
2015-06-02	WELL1B	7678.439395	6.824390596	2826.271422	1896.599675
2015-07-02	WELL1B	8241.624551	1.070317163	2923.120606	1896.599675
2015-08-01	WELL1B	8109.434958	6.904421603	2810.239935	1896.599675
2015-08-31	WELL1B	7941.659698	6.904421603	2887.587705	1896.599675
2015-09-30	WELL1B	7702.600694	6.904421603	2811.581699	1740.089496
2015-10-30	WELL1B	8058.921915	7.269261697	2908.195759	1740.089496
2015-11-29	WELL1B	8061.090478	7.269261697	2665.685257	1740.089496
2015-12-29	WELL1B	7719.769035	7.269261697	2879.742175	1740.089496
